,state_abbr,candidate_name,party,votes_total
223,WV,Gary Johnson,LIB,22798.0
224,WV,Jill Stein,GRN,8000.0
225,WV,Other,OTH,3773.0
226,WI,Donald Trump,GOP,1409467.0
227,WI,Hillary Clinton,DEM,1382210.0
228,WI,Gary Johnson,LIB,106442.0
229,WI,Jill Stein,GRN,30980.0
230,WI,Other,OTH,15521.0
231,WY,Donald Trump,GOP,174248.0
232,WY,Hillary Clinton,DEM,55949.0
233,WY,Gary Johnson,LIB,13285.0
234,WY,Other,OTH,2748.0
235,WY,Jill Stein,GRN,2512.0
